phi1,phib,a,b,A1,A2,theta,status
38,115,7.8,6.1,2,-6,27.5,NotYet
38,115,7.8,6.1,2,-7,27.5,NotYet
38,115,7.8,6.1,2,-5,27.5,NotYet
38,115,7.8,6.1,2,-4,27.5,NotYet
38,115,7.8,6.1,2,-8,27.5,NotYet
38,115,7.8,6.1,3,-6,27.5,NotYet
38,115,7.8,6.1,3,-7,27.5,NotYet
38,115,7.8,6.1,3,-5,27.5,NotYet
38,115,7.8,6.1,3,-4,27.5,NotYet
38,115,7.8,6.1,3,-8,27.5,NotYet
38,115,7.8,6.1,4,-6,27.5,NotYet
38,115,7.8,6.1,4,-7,27.5,NotYet
38,115,7.8,6.1,4,-5,27.5,NotYet
38,115,7.8,6.1,4,-4,27.5,NotYet
38,115,7.8,6.1,4,-8,27.5,NotYet
